zip,city,county,pop
98853,Stratford,Grant,14
98430,Camp Murray,Pierce,0
98238,Conway,Skagit,0
98154,Seattle,King,0
99020,Marshall,Spokane,0
98174,Seattle,King,0
98559,Malone,Grays Harbor,0
99164,Pullman,Whitman,0
98929,Goose Prairie,Yakima,0
98158,Seattle,King,0
